año,vehiculos,viviendas,autos_por_vivienda
1980,3867.0,7438,0.5199
1981,6047.0,8767,0.6897
1982,6424.0,10345,0.6210
1983,6936.0,12207,0.5682
1984,7328.0,14405,0.5087
1985,7401.0,17002,0.4353
1986,7779.0,20062,0.3878
1987,8158.0,23673,0.3446
1988,8654.0,27934,0.3098
1989,11979.0,32953,0.3635
1990,17157.0,41751,0.4109
1991,18836.0,45431,0.4146
1992,23911.0,49431,0.4837
1993,43711.0,53778,0.8128
1994,25385.0,58506,0.4339
1995,33072.0,63648,0.5196
1996,63090.0,69238,0.9112
1997,66734.0,75310,0.8861
1998,41568.0,81902,0.5075
1999,55018.0,89052,0.6178
2000,76713.0,97090,0.7891
2001,73837.0,103308,0.7147
2002,61992.0,109926,0.5639
2003,56889.0,116975,0.4863
2004,94793.0,124489,0.7615
2005,114021.0,132499,0.8605
2006,149887.0,141036,1.0628
2007,176280.0,150133,1.1742
2008,196408.0,159824,1.2289
2009,208267.0,170144,1.2241
2010,220415.0,184247,1.1963
2011,231069.0,190518,1.2128
2012,245986.0,197000,1.2487
2013,261642.0,203700,1.2844
2014,280897.0,210626,1.3336
2015,303582.0,217787,1.3940
2016,329482.0,225193,1.4631
2017,360937.0,232852,1.5499
2018,382769.0,240774,1.5897
2019,405614.0,248969,1.6292
2020,414645.0,258477,1.6042
2021,419114.0,267429,1.5672
2022,443227.0,276686,1.6019
2023,469490.0,286259,1.6401
2024,508445.0,296158,1.7168
2025,528782.8,306485,1.7253
